id,customer_message,intent,expected_action,difficulty,groundedness,correctness,helpfulness,actionability,tone,annotator_id,notes
gold_002,Phone gets burning hot while plugged into the original wall charger and shuts down.,battery_power_issue,escalate,high_risk,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for battery_power_issue.
gold_003,Why does my battery jump from 40% straight to 1% and then die?,battery_power_issue,auto,medium,5,3,3,3,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for battery_power_issue.
gold_004,My iPad Pro won't charge past 80% no matter how long it stays plugged in.,battery_power_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for battery_power_issue.
gold_005,Battery health says 74% and Service recommended. How do I get it replaced?,battery_power_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for battery_power_issue.
gold_061,I was charged $9.99 on my credit card from 'ITUNES.COM/BILL' and don't know what it is for.,billing_subscription_issue,auto,easy,4,5,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for billing_subscription_issue.
gold_062,How do I request a refund for an accidental in-app gem purchase my kid made?,billing_subscription_issue,auto,easy,4,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for billing_subscription_issue.
gold_063,Cancel my Apple Music subscription right now and refund this month's charge.,billing_subscription_issue,auto,easy,5,4,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for billing_subscription_issue.
gold_064,"You charged me $500 for a fraudulent App Store game, my lawyer will contact you if not refunded!",billing_subscription_issue,escalate,high_risk,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for billing_subscription_issue.
gold_065,How long does it take for an Apple Store refund to show up on my debit card?,billing_subscription_issue,auto,easy,5,5,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for billing_subscription_issue.
gold_101,My iPhone suddenly says 'No SIM Card Installed' even though the SIM is inside.,connectivity_network_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for connectivity_network_issue.
gold_102,Wi-Fi toggle in Control Center is greyed out and cannot be turned on.,connectivity_network_issue,escalate,hard,5,4,3,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for connectivity_network_issue.
gold_103,iPhone connects to home Wi-Fi but says 'No Internet Connection' while other laptops work.,connectivity_network_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for connectivity_network_issue.
gold_104,AirPods disconnect from Bluetooth every 3 minutes during phone calls.,connectivity_network_issue,auto,easy,5,4,4,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for connectivity_network_issue.
gold_105,Personal Hotspot is missing from Settings menu on iOS 11.,connectivity_network_issue,auto,medium,4,4,4,5,4,human_expert_auditor_1,Verified adherence to official Apple Support protocols for connectivity_network_issue.
gold_181,Do you offer customer support on Twitter in Spanish or Portuguese?,general_inquiry_advice,auto,easy,5,5,4,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for general_inquiry_advice.
gold_182,How do I take a screenshot on the new iPhone X without a home button?,general_inquiry_advice,auto,easy,5,4,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for general_inquiry_advice.
gold_183,Can I trade in my old iPhone 6 at the Apple Store towards an iPhone 8?,general_inquiry_advice,auto,easy,5,5,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for general_inquiry_advice.
gold_184,What are the retail store opening hours for the Regent Street Apple Store in London?,general_inquiry_advice,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for general_inquiry_advice.
gold_185,Is iPhone 8 waterproof if I take it swimming in the ocean?,general_inquiry_advice,auto,easy,5,4,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for general_inquiry_advice.
gold_081,I dropped my iPhone 8 and the glass back shattered. How much does out-of-warranty repair cost?,hardware_repair_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for hardware_repair_issue.
gold_082,The Home button on my iPhone 7 feels completely dead and doesn't click at all.,hardware_repair_issue,auto,medium,4,4,3,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for hardware_repair_issue.
gold_083,"My phone fell into a lake, and now the camera lens has water droplets inside.",hardware_repair_issue,escalate,hard,4,4,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for hardware_repair_issue.
gold_084,How do I book a Genius Bar appointment at the Fifth Avenue store in New York?,hardware_repair_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for hardware_repair_issue.
gold_085,Touch screen has ghost touch and opens random apps by itself.,hardware_repair_issue,auto,medium,4,3,4,4,4,human_expert_auditor_1,Verified adherence to official Apple Support protocols for hardware_repair_issue.
gold_141,iCloud Backup failed: 'The last backup could not be completed due to poor network.',icloud_backup_issue,auto,easy,5,5,4,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for icloud_backup_issue.
gold_142,My photos from today are not appearing on my Mac or iPad iCloud Photo Library.,icloud_backup_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for icloud_backup_issue.
gold_143,I upgraded to 200GB iCloud plan but my iPhone still says iCloud storage is full.,icloud_backup_issue,auto,medium,5,4,5,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for icloud_backup_issue.
gold_144,How do I download all my original full-resolution photos from iCloud to my PC?,icloud_backup_issue,auto,easy,5,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for icloud_backup_issue.
gold_145,I deleted photos from my iPhone to make space and they disappeared from iCloud too!,icloud_backup_issue,auto,medium,4,4,3,4,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for icloud_backup_issue.
gold_021,My iPhone is stuck on the Apple logo with progress bar for 4 hours while updating to iOS 11.,software_update_issue,auto,easy,4,5,4,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for software_update_issue.
gold_022,How do I downgrade my iPhone from iOS 11 back to iOS 10.3.3?,software_update_issue,auto,medium,4,4,4,5,4,human_expert_auditor_1,Verified adherence to official Apple Support protocols for software_update_issue.
gold_023,Unable to Verify Update. iOS failed verification because you are no longer connected to internet.,software_update_issue,auto,easy,5,4,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for software_update_issue.
gold_024,Update requested... has been spinning on my screen for two days without downloading.,software_update_issue,auto,easy,5,5,5,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for software_update_issue.
gold_025,Error 4013 occurred while trying to restore iPhone in iTunes.,software_update_issue,auto,medium,4,4,3,5,5,human_expert_auditor_1,Verified adherence to official Apple Support protocols for software_update_issue.
